,No source in $2 with unapproved $1,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
3630,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,finding aid expression|has finding aid expression,,,,http://rdaregistry.info/Elements/e/P20155,has finding aid expression,,,,,
3631,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,index expression|has index expression,,,,http://rdaregistry.info/Elements/e/P20156,has index expression,,,,,
3632,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,screenplay expression|has screenplay expression,,,,http://rdaregistry.info/Elements/e/P20157,has screenplay expression,,,,,
3633,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,motion picture screenplay expression|has motion picture screenplay expression,,,,http://rdaregistry.info/Elements/e/P20158,has motion picture screenplay expression,,,,,
3634,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,musical setting of expression|is musical setting of expression,,,,http://rdaregistry.info/Elements/e/P20159,is musical setting of expression,,,,,
3635,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,radio script expression|has radio script expression,,,,http://rdaregistry.info/Elements/e/P20160,has radio script expression,,,,,
3636,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,television screenplay expression|has television screenplay expression,,,,http://rdaregistry.info/Elements/e/P20161,has television screenplay expression,,,,,
3637,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,video screenplay expression|has video screenplay expression,,,,http://rdaregistry.info/Elements/e/P20162,has video screenplay expression,,,,,
3638,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,libretto expression|has libretto expression,,,,http://rdaregistry.info/Elements/e/P20163,has libretto expression,,,,,
3639,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,paraphrased as expression|is paraphrased as expression,,,,http://rdaregistry.info/Elements/e/P20164,is paraphrased as expression,,,,,
3640,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,arranged as|is arranged as,,,,http://rdaregistry.info/Elements/e/P20165,is arranged as,,,,,
3641,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,abridged as expression|is abridged as expression,,,,http://rdaregistry.info/Elements/e/P20166,is abridged as expression,,,,,
3642,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,digested as expression|is digested as expression,,,,http://rdaregistry.info/Elements/e/P20170,is digested as expression,,,,,
3643,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,translated as|is translated as,,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
3644,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,supplement expression|has supplement expression,,,,http://rdaregistry.info/Elements/e/P20172,has supplement expression,,,,,
3645,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,screenplay for motion picture expression|is screenplay for motion picture expression,,,,http://rdaregistry.info/Elements/e/P20173,is screenplay for motion picture expression,,,,,
3646,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,screenplay for television program expression|is screenplay for television program expression,,,,http://rdaregistry.info/Elements/e/P20174,is screenplay for television program expression,,,,,
3647,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,screenplay for video expression|is screenplay for video expression,,,,http://rdaregistry.info/Elements/e/P20175,is screenplay for video expression,,,,,
3648,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,script for radio program expression|is script for radio program expression,,,,http://rdaregistry.info/Elements/e/P20176,is script for radio program expression,,,,,
3649,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,addenda to expression|is addenda to expression,,,,http://rdaregistry.info/Elements/e/P20177,is addenda to expression,,,,,
3650,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,summary of expression|is summary of expression,,,,http://rdaregistry.info/Elements/e/P20179,is summary of expression,,,,,
3651,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,catalogue of expression|is catalogue of expression,,,,http://rdaregistry.info/Elements/e/P20180,is catalogue of expression,,,,,
3652,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,concordance to expression|is concordance to expression,,,,http://rdaregistry.info/Elements/e/P20181,is concordance to expression,,,,,
3653,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,choreographic adaptation of expression|is choreographic adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20183,is choreographic adaptation of expression,,,,,
3654,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,expanded version of expression|is expanded version of expression,,,,http://rdaregistry.info/Elements/e/P20184,is expanded version of expression,,,,,
3655,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,remake of expression|is remake of expression,,,,http://rdaregistry.info/Elements/e/P20185,is remake of expression,,,,,
3656,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,paraphrase of expression|is paraphrase of expression,,,,http://rdaregistry.info/Elements/e/P20186,is paraphrase of expression,,,,,
3657,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,index to expression|is index to expression,,,,http://rdaregistry.info/Elements/e/P20188,is index to expression,,,,,
3658,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,revision of|is revision of,,,,http://rdaregistry.info/Elements/e/P20189,is revision of,,,,,
3659,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,libretto based on expression|is libretto based on expression,,,,http://rdaregistry.info/Elements/e/P20190,is libretto based on expression,,,,,
3660,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,augmentation of expression|is augmentation of expression,,,,http://rdaregistry.info/Elements/e/P20192,is augmentation of expression,,,,,
3661,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,abstracts for expression|is abstracts for expression,,,,http://rdaregistry.info/Elements/e/P20193,is abstracts for expression,,,,,
3662,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,indexing for expression|is indexing for expression,,,,http://rdaregistry.info/Elements/e/P20194,is indexing for expression,,,,,
3663,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,imitation of expression|is imitation of expression,,,,http://rdaregistry.info/Elements/e/P20195,is imitation of expression,,,,,
3664,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,parody of expression|is parody of expression,,,,http://rdaregistry.info/Elements/e/P20196,is parody of expression,,,,,
3665,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,finding aid for expression|is finding aid for expression,,,,http://rdaregistry.info/Elements/e/P20197,is finding aid for expression,,,,,
3666,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,expression of derivative work|has expression of derivative work,,,,http://rdaregistry.info/Elements/e/P20203,has expression of derivative work,,,,,
3667,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,expression of source work|has expression of source work,,,,http://rdaregistry.info/Elements/e/P20204,has expression of source work,,,,,
3668,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,related expression of expression|has related expression of expression,,,,http://rdaregistry.info/Elements/e/P20205,has related expression of expression,,,,,
3669,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,revised as|is revised as,,,,http://rdaregistry.info/Elements/e/P20211,is revised as,,,,,
3670,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,merged to form expression|is merged to form expression,,,,http://rdaregistry.info/Elements/e/P20212,is merged to form expression,,,,,
3671,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,musical theatre adaptation of expression|is musical theatre adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20239,is musical theatre adaptation of expression,,,,,
3672,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,opera adaptation of expression|is opera adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20240,is opera adaptation of expression,,,,,
3673,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as musical theatre expression|is adapted as musical theatre expression,,,,http://rdaregistry.info/Elements/e/P20241,is adapted as musical theatre expression,,,,,
3674,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as opera expression|is adapted as opera expression,,,,http://rdaregistry.info/Elements/e/P20242,is adapted as opera expression,,,,,
3675,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,music expression|has music expression,,,,http://rdaregistry.info/Elements/e/P20243,has music expression,,,,,
3676,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,music for expression|is music for expression,,,,http://rdaregistry.info/Elements/e/P20244,is music for expression,,,,,
3677,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,video music expression|has video music expression,,,,http://rdaregistry.info/Elements/e/P20245,has video music expression,,,,,
3678,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,music for video expression|is music for video expression,,,,http://rdaregistry.info/Elements/e/P20246,is music for video expression,,,,,
3679,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,television program music expression|has television program music expression,,,,http://rdaregistry.info/Elements/e/P20247,has television program music expression,,,,,
3680,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,music for television program expression|is music for television program expression,,,,http://rdaregistry.info/Elements/e/P20248,is music for television program expression,,,,,
3681,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,radio program music expression|has radio program music expression,,,,http://rdaregistry.info/Elements/e/P20249,has radio program music expression,,,,,
3682,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,music for radio program expression|is music for radio program expression,,,,http://rdaregistry.info/Elements/e/P20250,is music for radio program expression,,,,,
3683,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,motion picture music expression|has motion picture music expression,,,,http://rdaregistry.info/Elements/e/P20251,has motion picture music expression,,,,,
3684,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,music for motion picture expression|is music for motion picture expression,,,,http://rdaregistry.info/Elements/e/P20252,is music for motion picture expression,,,,,
3685,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,choreography expression|has choreography expression,,,,http://rdaregistry.info/Elements/e/P20253,has choreography expression,,,,,
3686,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,choreography for expression|is choreography for expression,,,,http://rdaregistry.info/Elements/e/P20254,is choreography for expression,,,,,
3687,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as graphic novel expression|is adapted as graphic novel expression,,,,http://rdaregistry.info/Elements/e/P20255,is adapted as graphic novel expression,,,,,
3688,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,graphic novelization of expression|is graphic novelization of expression,,,,http://rdaregistry.info/Elements/e/P20256,is graphic novelization of expression,,,,,
3689,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,subject expression of|is subject expression of,,,,http://rdaregistry.info/Elements/e/P20268,is subject expression of,,,,,
3690,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,expression described in|is expression described in,,,,http://rdaregistry.info/Elements/e/P20269,is expression described in,,,,,
3691,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,expression analysed in|is expression analysed in,,,,http://rdaregistry.info/Elements/e/P20270,is expression analysed in,,,,,
3692,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,expression commentary in|is expression commentary in,,,,http://rdaregistry.info/Elements/e/P20271,is expression commentary in,,,,,
3693,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,expression critiqued in|is expression critiqued in,,,,http://rdaregistry.info/Elements/e/P20272,is expression critiqued in,,,,,
